Beat(Left),Time (Second)
1,0
2,8
3,16
4,16.75
5,17.5
6,20
7,20.75
8,21.5
9,24
10,24.75
11,25.5
12,28
13,28.75
14,29.5
15,32
16,32.75
17,34
18,34.25
19,34.75
20,35
21,36
22,36.75
23,38
24,38.25
25,38.75
26,39
27,40
28,40.75
29,42
30,42.25
31,42.75
32,43
33,44
34,44.75
35,46
36,46.25
37,46.75
38,47
39,48
40,48.75
41,50
42,50.25
43,50.75
44,51
45,52
46,52.75
47,54
48,54.25
49,54.75
50,55
51,56
52,56.75
53,58
54,58.25
55,58.75
56,59
57,60
58,60.75
59,62
60,62.25
61,62.75
62,63
63,80
64,80.375
65,80.75
66,82
67,82.375
68,82.75
69,84
70,84.375
71,84.75
72,86
73,86.375
74,86.75
75,88
76,88.375
77,88.75
78,90
79,92
80,92.375
81,92.75
82,94
83,94.375
84,94.75
85,96
86,96.375
87,96.75
88,97.125
89,98
90,98.375
91,98.75
92,99.125
93,100
94,100.375
95,100.75
96,101.125
97,102
98,102.375
99,102.75
100,103.125
101,103.75
102,104
103,104.375
104,104.75
105,105.125
106,106
107,106.375
108,106.75
109,107.125
110,108
111,108.375
112,108.75
113,109.125
114,110
115,110.375
116,110.75
117,111.125
118,111.75
119,112
120,112.125
121,112.25
122,112.375
123,112.875
124,113.125
125,113.25
126,114
127,114.125
128,114.25
129,114.375
130,114.875
131,115.125
132,115.25
133,116
134,116.125
135,116.25
136,116.375
137,116.875
138,117.125
139,117.25
140,118
141,118.125
142,118.25
143,118.375
144,118.875
145,119.125
146,119.25
147,120
148,120.125
149,120.25
150,120.375
151,120.875
152,121.125
153,121.25
154,121.5
155,122
156,122.125
157,122.25
158,122.375
159,122.875
160,123.125
161,123.25
162,124
163,124.125
164,124.25
165,124.375
166,124.875
167,125.125
168,125.25
169,126
170,126.125
171,126.25
172,126.375
173,126.875
174,127.125
175,127.25
176,128
,
,
,
,
,
,
,
