Beat(Right),Time (Second)
1,4
2,12
3,17
4,19
5,21
6,23
7,25
8,27
9,29
10,31
11,33.5
12,35.5
13,37.5
14,39.5
15,41.5
16,43.5
17,45.5
18,47.5
19,49.5
20,51.5
21,53.5
22,55.5
23,57.5
24,59.5
25,61.5
26,63.5
27,80.5
28,82.5
29,84.5
30,86.5
31,88.5
32,90.5
33,92.5
34,94.5
35,96.5
36,97.5
37,98.5
38,99.5
39,100.5
40,101.5
41,102.5
42,103.5
43,104.5
44,105.5
45,106.5
46,107.5
47,108.5
48,109.5
49,110.5
50,111.5
51,112.5
52,113.5
53,114.5
54,115.5
55,116.5
56,117.5
57,118.5
58,119.5
59,119.75
60,120.5
61,121.5
62,122.5
63,123.5
64,124.5
65,125.5
66,126.5
67,127.5
68,127.625
69,127.75
70,127.875
